Odczuwalna,Ciśnienie,Wilgotność,Zwykła temperatura,Opis pogody,Miejsce,Prędkość wiatru,Data pomiaru
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:22:12.477384
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:22:57.369770
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:23:15.977850
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:23:26.296205
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:23:36.407620
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:33:47.512520
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:33:54.714399
23.8,1020,87,23.2,broken clouds,Funchal,3.67,2025-07-09 19:34:05.045965
23.8,1020,87,23.2,light rain,Funchal,3.82,2025-07-09 19:34:15.176849
37.9,1021,58,32.6,few clouds,Funchal,9.25,2025-07-17 17:12:25.756470
38.2,1021,59,32.6,few clouds,Funchal,11.12,2025-07-17 17:21:02.340079
38.2,1021,59,32.6,few clouds,Funchal,11.12,2025-07-17 17:22:07.547099
38.2,1021,59,32.6,few clouds,Funchal,11.12,2025-07-17 17:22:17.967986
38.2,1021,59,32.6,few clouds,Funchal,11.12,2025-07-17 17:26:25.138647
38.2,1021,59,32.6,few clouds,Funchal,11.12,2025-07-17 17:26:35.686048
